Competition,Stage,Round,Date,Kickoff (UTC),Home Team,Away Team,Score Home,Score Away,Odds Home,Odds Draw,Odds Away,Status
Premier League,Sierra Leone,,2026-04-30,17:30,Bhantal,Old Edwardians,,,2.52,2.65,3.06,Scheduled
Premier League,Singapore,,2026-04-30,12:30,Tanjong Pagar,Hougang,,,8.50,6.25,1.20,Scheduled
Nike liga - Relegation Group,Slovakia,,2026-04-30,17:00,Skalica,Kosice,,,2.53,3.54,2.49,Scheduled
Nike liga - Championship Group,Slovakia,,2026-04-30,17:00,Zilina,Michalovce,,,1.40,4.85,6.53,Scheduled
3. SNL - East,Slovenia,,2026-04-30,18:30,Dobrovce,Korotan,,,3.98,3.55,1.76,Scheduled
National league,Somalia,,2026-04-30,13:30,Jeenyo,Gaadiidka,,,,,,Scheduled
Betway Premiership,South Africa,,2026-04-30,18:30,Chippa Utd.,Sekhukhune,,,3.27,2.92,2.22,Scheduled
Betway Premiership,South Africa,,2026-04-30,18:30,Magesi,Orbit College,,,1.92,2.74,4.67,Scheduled
Betway Premiership,South Africa,,2026-04-30,18:30,Siwelele,Durban City,,,2.17,2.86,3.46,Scheduled
Betway Premiership,South Africa,,2026-04-30,18:30,Stellenbosch,Orlando Pirates,,,7.32,3.54,1.47,Scheduled
Copa Libertadores - Group Stage,South America,,2026-04-30,23:00,Rosario Central (Arg),Libertad Asuncion (Par),,,1.33,5.00,9.50,Scheduled
Copa Libertadores - Group Stage,South America,,2026-04-30,23:00,Sporting Cristal (Per),Palmeiras (Bra),,,6.00,3.90,1.57,Scheduled
Copa Sudamericana - Group Stage,South America,,2026-04-30,23:00,Dep. Riestra (Arg),Gremio (Bra),,,2.70,2.90,2.80,Scheduled
Copa Sudamericana - Group Stage,South America,,2026-04-30,23:00,Independiente (Bol),Caracas (Ven),,,2.10,3.60,3.40,Scheduled
Copa Sudamericana - Group Stage,South America,,2026-04-30,23:00,Juventud (Uru),Atletico-MG (Bra),,,3.40,3.25,2.15,Scheduled
K League 1,South Korea,,2026-04-30,Finished,Bucheon FC 1995,Jeju SK,0,1,2.75,3.00,2.63,Finished
K League 1,South Korea,,2026-04-30,Finished,Jeonbuk,Gwangju FC,4,0,1.33,4.50,9.50,Finished
K League 1,South Korea,,2026-04-30,Finished,Daejeon,Incheon,0,0,1.95,3.30,3.70,Finished
K League 1,South Korea,,2026-04-30,Finished,Gangwon,Pohang,1,1,1.83,3.10,4.50,Finished
K League 1,South Korea,,2026-04-30,Finished,Gimcheon Sangmu,Ulsan HD,1,2,3.40,3.60,1.95,Finished
K League 1,South Korea,,2026-04-30,24,Seoul,Anyang,0,0,1.65,3.70,5.00,Scheduled
WK League Women,South Korea,,2026-04-30,Finished,Gangjin Swans W,Incheon Hyundai Steel W,1,3,,,Scheduled
WK League Women,South Korea,,2026-04-30,Finished,Gyeongju W,Seoul W,0,1,,,Scheduled
WK League Women,South Korea,,2026-04-30,Finished,Mungyeong Sangmu W,Suwon FC W,1,3,,,Scheduled
WK League Women,South Korea,,2026-04-30,Finished,Sejong Sportstoto W,Hwacheon W,0,1,,,Scheduled
Superettan,Sweden,,2026-04-30,18:00,Falkenberg,Norrkoping,,,2.45,3.40,2.45,Scheduled
